OSNR,instance,node_dst,node_src,amplifier_spacing,system_margin,fiber_loss,ampl_noise,constellation,volume,link_len,hops_id,guardband_l,guardband_r,traffic_l,traffic_r,constellation_l,constellation_r,path_id
5.28758615,1,3,14,100,7.642405604,0.2,5,4,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
2.201516018,1,3,14,100,7.642405604,0.2,5,8,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
0.680231327,1,3,14,100,7.642405604,0.2,5,16,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
-0.471779214,1,3,14,100,7.642405604,0.2,5,32,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
-1.817906062,1,3,14,100,7.642405604,0.2,5,64,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
13.21456614,1,3,14,100,2.680649449,0.2,5,2,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
10.25644089,1,3,14,100,2.680649449,0.2,5,4,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
7.158204249,1,3,14,100,2.680649449,0.2,5,8,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
5.650250108,1,3,14,100,2.680649449,0.2,5,16,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
4.487517611,1,3,14,100,2.680649449,0.2,5,32,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
3.134792679,1,3,14,100,2.680649449,0.2,5,64,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
11.87419513,1,3,14,100,4.024177629,0.2,5,2,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
8.909622931,1,3,14,100,4.024177629,0.2,5,4,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
5.820107525,1,3,14,100,4.024177629,0.2,5,8,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
4.315508524,1,3,14,100,4.024177629,0.2,5,16,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
3.134236158,1,3,14,100,4.024177629,0.2,5,32,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
1.797984095,1,3,14,100,4.024177629,0.2,5,64,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
3.432581235,1,3,14,100,12.46089913,0.2,5,2,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
0.479110135,1,3,14,100,12.46089913,0.2,5,4,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
-2.612833765,1,3,14,100,12.46089913,0.2,5,8,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
-4.121616712,1,3,14,100,12.46089913,0.2,5,16,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
-5.28931432,1,3,14,100,12.46089913,0.2,5,32,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
-6.632948157,1,3,14,100,12.46089913,0.2,5,64,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
2.076938738,1,3,14,100,13.82322499,0.2,5,2,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
-0.879804997,1,3,14,100,13.82322499,0.2,5,4,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
-3.982193922,1,3,14,100,13.82322499,0.2,5,8,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
-5.484278566,1,3,14,100,13.82322499,0.2,5,16,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
-6.658425425,1,3,14,100,13.82322499,0.2,5,32,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
-8.00486878,1,3,14,100,13.82322499,0.2,5,64,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
14.91509969,1,3,14,100,0.988317494,0.2,5,2,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
11.93915249,1,3,14,100,0.988317494,0.2,5,4,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
8.850463707,1,3,14,100,0.988317494,0.2,5,8,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
7.348879395,1,3,14,100,0.988317494,0.2,5,16,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
6.183695396,1,3,14,100,0.988317494,0.2,5,32,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
4.832484906,1,3,14,100,0.988317494,0.2,5,64,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
8.941966328,1,3,14,100,6.951028239,0.2,5,2,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
5.978163615,1,3,14,100,6.951028239,0.2,5,4,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
2.897650216,1,3,14,100,6.951028239,0.2,5,8,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
1.389681692,1,3,14,100,6.951028239,0.2,5,16,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
0.213048992,1,3,14,100,6.951028239,0.2,5,32,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
-1.121140042,1,3,14,100,6.951028239,0.2,5,64,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
